user_id,email,phone_number,registration_date
1001,user_1001@gmail.com,555-902-8861,2023-06-13
1002,user_1002@gmail.com,555-387-9157,2023-12-25
1003,user_1003@gmail.com,555-799-2217,2023-09-06
1004,user_1004@gmail.com,555-478-2556,2023-10-21
1005,user_1005@gmail.com,555-648-2579,2023-11-26
1006,user_1006@gmail.com,555-306-1810,2023-03-08
1007,user_1007@gmail.com,555-798-2595,2023-07-24
1008,user_1008@gmail.com,555-578-3823,2023-12-17
1009,user_1009@gmail.com,555-330-7187,2023-08-12
1010,user_1010@gmail.com,555-492-2426,2023-03-22
1011,user_1011@gmail.com,555-641-2269,2023-03-16
1012,user_1012@gmail.com,555-371-8947,2023-05-25
1013,user_1013@gmail.com,555-523-6688,2023-07-11
1014,user_1014@gmail.com,555-891-3921,2023-06-04
1015,user_1015@gmail.com,555-716-7186,2023-01-25
1016,user_1016@gmail.com,555-760-7294,2023-12-20
1017,user_1017@gmail.com,555-601-1599,2023-03-18
1018,user_1018@gmail.com,555-475-3000,2023-12-19
1019,user_1019@gmail.com,555-153-4679,2023-09-25
1020,user_1020@gmail.com,555-276-3398,2023-04-19
1021,user_1021@gmail.com,555-693-4832,2023-08-20
1022,user_1022@gmail.com,555-799-8880,2023-02-09
1023,user_1023@gmail.com,555-194-4143,2023-06-24
1024,user_1024@gmail.com,555-193-6738,2023-12-23
1025,user_1025@gmail.com,555-374-2424,2023-10-30
1026,user_1026@gmail.com,555-441-6875,2023-12-30
1027,user_1027@gmail.com,555-230-1513,2023-06-13
1028,user_1028@gmail.com,555-913-2393,2023-07-23
1029,user_1029@gmail.com,555-533-4629,2023-04-05
1030,user_1030@gmail.com,555-378-5169,2023-02-21
1031,user_1031@gmail.com,555-335-1281,2023-03-09
1032,user_1032@gmail.com,555-628-8397,2023-03-21
1033,user_1033@gmail.com,555-407-6668,2023-12-22
1034,user_1034@gmail.com,555-600-3523,2023-03-25
1035,user_1035@gmail.com,555-995-1512,2023-06-27
1036,user_1036@gmail.com,555-364-4063,2023-02-06
1037,user_1037@gmail.com,555-190-2385,2023-04-24
1038,user_1038@gmail.com,555-878-7880,2023-09-07
1039,user_1039@gmail.com,555-849-5603,2023-08-06
1040,user_1040@gmail.com,555-537-9023,2023-05-01
1041,user_1041@gmail.com,555-163-9256,2023-03-09
1042,user_1042@gmail.com,555-336-2288,2023-05-18
1043,user_1043@gmail.com,555-998-2228,2023-10-31
1044,user_1044@gmail.com,555-696-2985,2023-11-30
1045,user_1045@gmail.com,555-389-5200,2023-01-17
1046,user_1046@gmail.com,555-324-1205,2023-10-02
1047,user_1047@gmail.com,555-363-7143,2023-10-18
1048,user_1048@gmail.com,555-431-3342,2023-12-03
1049,user_1049@gmail.com,555-406-7485,2023-03-31
1050,user_1050@gmail.com,555-754-4816,2023-03-08
1051,user_1051@gmail.com,555-543-8338,2023-06-19
1052,user_1052@gmail.com,555-279-8119,2023-07-24
1053,user_1053@gmail.com,555-490-2520,2023-02-06
1054,user_1054@gmail.com,555-352-7285,2023-03-10
1055,user_1055@gmail.com,555-683-4278,2023-05-22
1056,user_1056@gmail.com,555-269-8435,2023-12-20
1057,user_1057@gmail.com,555-989-6491,2023-08-20
1058,user_1058@gmail.com,555-963-9440,2023-05-08
1059,user_1059@gmail.com,555-769-8630,2023-10-17
1060,user_1060@gmail.com,555-215-1105,2023-07-25
1061,user_1061@gmail.com,555-119-4904,2023-07-22
1062,user_1062@gmail.com,555-132-3064,2023-06-09
1063,user_1063@gmail.com,555-118-6118,2024-01-01
1064,user_1064@gmail.com,555-676-1834,2023-10-29
1065,user_1065@gmail.com,555-969-8640,2023-04-20
1066,user_1066@gmail.com,555-340-1488,2023-04-10
1067,user_1067@gmail.com,555-668-4937,2023-07-15
1068,user_1068@gmail.com,555-883-3303,2023-02-11
1069,user_1069@gmail.com,555-579-5797,2023-05-13
1070,user_1070@gmail.com,555-494-4260,2023-05-27
1071,user_1071@gmail.com,555-748-9552,2023-06-09
1072,user_1072@gmail.com,555-632-4885,2023-04-06
